os,cpu,gpu,ram,kernel,driver,cpuscheduler
ROSA Fresh Desktop 12.2,Intel Xeon CPU E5-2678 v3 @ 2.50GHz,Radeon RX 6600/6600 XT/6600M,32770052,5.19.0.xm2-1-xanmod-rosa2021.1-x86_64,4.6 Mesa 22.1.7,conservative
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,elapsed
38.0561,26277,22.6506,0,42,29,13,305,0.87402,9,2.77056,493202227
37.8058,26451,22.6506,0,42,29,13,305,0.87402,9,2.77056,593305839
1106.19,904,22.6506,0,42,29,13,305,0.87402,9,2.77056,693365797
1250,800,22.6506,0,42,29,13,305,0.87402,9,2.77056,793428766
1686.34,593,22.6506,0,42,29,13,305,0.87402,9,2.77056,893487549
37.7686,26477,22.6506,0,42,29,13,305,0.87402,9,2.77056,993513232
37.9795,26330,25.0605,2,42,29,27,282,0.874146,7,2.80864,1093572294
37.5347,26642,25.0605,2,42,29,27,282,0.874146,7,2.80864,1193597298
37.5799,26610,25.0605,2,42,29,27,282,0.874146,7,2.80864,1293655916
38.5951,25910,25.0605,2,42,29,27,282,0.874146,7,2.80864,1393724219
37.8544,26417,25.0605,2,42,29,27,282,0.874146,7,2.80864,1493782907
38.7958,25776,22.1429,26,42,30,237,578,0.874146,15,2.82857,1593841717
38.3803,26055,22.1429,26,42,30,237,578,0.874146,15,2.82857,1693898555
39.142,25548,22.1429,26,42,30,237,578,0.874146,15,2.82857,1793956307
39.142,25548,22.1429,26,42,30,237,578,0.874146,15,2.82857,1894010157
28.3962,35216,22.1429,26,42,30,237,578,0.874146,15,2.82857,1994071390
2000,500,22.6933,2,43,30,23,299,0.874146,9,2.85041,2094147204
1876.17,533,22.6933,2,43,30,23,299,0.874146,9,2.85041,2194216079
1865.67,536,22.6933,2,43,30,23,299,0.874146,9,2.85041,2294274847
1858.74,538,22.6933,2,43,30,23,299,0.874146,9,2.85041,2394333792
1818.18,550,22.6933,2,43,30,23,299,0.874146,9,2.85041,2494393466
1457.73,686,25.8427,45,43,30,473,683,0.874146,16,2.84851,2594460213
2087.68,479,25.8427,45,43,30,473,683,0.874146,16,2.84851,2694520334
1508.3,663,25.8427,45,43,30,473,683,0.874146,16,2.84851,2794578381
1438.85,695,25.8427,45,43,30,473,683,0.874146,16,2.84851,2894637814
1510.57,662,25.8427,45,43,30,473,683,0.874146,16,2.84851,2994709463
1501.5,666,24.7177,56,43,30,567,770,0.874146,22,2.90112,3094766804
67.9995,14706,24.7177,56,43,30,567,770,0.874146,22,2.90112,3194828094
1531.39,653,24.7177,56,43,30,567,770,0.874146,22,2.90112,3294883317
1517.45,659,24.7177,56,43,30,567,770,0.874146,22,2.90112,3394941813
1579.78,633,24.7177,56,43,30,567,770,0.874146,22,2.90112,3494999692
39.9106,25056,27.3869,59,41,31,636,836,0.874146,23,2.93384,3595061532
1908.4,524,27.3869,59,41,31,636,836,0.874146,23,2.93384,3695125681
1497.01,668,27.3869,59,41,31,636,836,0.874146,23,2.93384,3795199785
1824.82,548,27.3869,59,41,31,636,836,0.874146,23,2.93384,3895268643
1818.18,550,27.3869,59,41,31,636,836,0.874146,23,2.93384,3995326476
2150.54,465,23.463,59,41,31,537,825,0.88306,22,2.95541,4095389551
2123.14,471,23.463,59,41,31,537,825,0.88306,22,2.95541,4195452895
1984.13,504,23.463,59,41,31,537,825,0.88306,22,2.95541,4295506777
2061.86,485,23.463,59,41,31,537,825,0.88306,22,2.95541,4395549082
2049.18,488,23.463,59,41,31,537,825,0.88306,22,2.95541,4495606177
1543.21,648,23.4336,69,41,31,664,875,0.88306,25,2.95499,4595662865
2074.69,482,23.4336,69,41,31,664,875,0.88306,25,2.95499,4695720064
1492.54,670,23.4336,69,41,31,664,875,0.88306,25,2.95499,4795773871
1594.9,627,23.4336,69,41,31,664,875,0.88306,25,2.95499,4895830267
2070.39,483,23.4336,69,41,31,664,875,0.88306,25,2.95499,4995884153
1410.44,709,25.3468,69,42,30,664,875,0.885059,25,2.97102,5095940849
